2025-05-10 16:38:33,063 | INFO | 📄 Starting processing file: 2025 - 01 - 02- Night Audit Packet.pdf
2025-05-10 16:38:54,107 | INFO | ✅ Processed Reservation Activity → reservation_activity (8 rows)
2025-05-10 16:38:54,119 | INFO | ✅ Processed Shift Reconciliation → shift_reconciliation (1 rows)
2025-05-10 16:38:54,126 | INFO | ✅ Processed Tax Exempt → exempt_revenue_tax (3 rows)
2025-05-10 16:38:54,133 | INFO | ✅ Processed Shift Reconciliation → shift_summary (3 rows)
2025-05-10 16:38:54,151 | INFO | ✅ Processed Tax Exempt → exempt_tax (2 rows)
2025-05-10 16:38:54,161 | INFO | ✅ Processed Tax Exempt → tax_exempt_revenue_summary (2 rows)
2025-05-10 16:38:54,169 | INFO | ✅ Processed Tax Exempt → exempt_revenue_tax (3 rows)
2025-05-10 16:38:54,189 | INFO | ✅ Processed Tax Exempt → tax_refund_revenue_summary (2 rows)
2025-05-10 16:38:54,191 | INFO | ✅ Processed Tax Exempt → exempt_tax (2 rows)
2025-05-10 16:38:54,215 | INFO | ✅ Processed Tax Exempt → tax_exempt_revenue_summary (2 rows)
2025-05-10 16:38:54,234 | INFO | ✅ Processed Gross Room Revenue → gross_room_revenue_detail (3 rows)
2025-05-10 16:38:54,234 | INFO | ✅ Processed Tax Exempt → tax_refund_revenue_summary (2 rows)
2025-05-10 16:38:54,263 | INFO | ✅ Processed Gross Room Revenue → gross_room_revenue_detail (3 rows)
2025-05-10 16:38:54,289 | INFO | ✅ Processed Revenue by Rate Code → revenue_by_rate_code (15 rows)
2025-05-10 16:38:54,291 | WARNING | ⚠️ No Advance Deposit Journal data for advance_deposit_journal in 2025 - 01 - 06- Night Audit Packet.pdf
2025-05-10 16:38:54,310 | INFO | ✅ Processed Revenue by Rate Code → revenue_by_rate_code (11 rows)
2025-05-10 16:38:54,339 | INFO | ✅ Processed Advance Deposit Journal → advance_deposit_journal (2 rows)
2025-05-10 16:38:54,418 | INFO | 📄 Starting processing file: 2025 - 01 - 09- Night Audit Packet.pdf
2025-05-10 16:38:54,430 | INFO | 📄 Starting processing file: 2025 - 01 - 13- Night Audit Packet.pdf
